date,open,high,low,close,volume,ma_10,rsi,next_day_movement,future_price
01-04-2024,ERROR,(188.33),(136.73),207.6.8,"1621164,abc",NaN,1237,UP,NaN
25/03/24,109.89,?,ERROR,240.x,Null,none,59.03.x,UP,153.49??
04-03-2024,194.x,216.1,(219.08),ERROR,Null,NaN,81.9.x,↑,164.51??
2024**04**05,NaN,ERROR,NaN,154.61abc,"3536304,abc",NaN,789,↑,275.99
2024/04/12,NaN,none,NaN,ERROR,{7659543},166.7.9,5.12,???,169.98??
05-03-2024,235.8.7,(249.0),none,NaN,7633966,177.x,265,↑,NaN
26-02-2024,177.26abc,259.3.9,289.7.8,125.8,5216195,none,504,↓,142.2??
07/03/24,243.16abc,none,218.79,258.x,{6395802},267.45,24.43.x,UP,outlier
06-02-2024,NaN,NaN,(264.25),ERROR,7074981units,234.x,5.64,Down,198.66
2024-01-12,211.x,148.3.7,221.48,134.7.9,3212461units,?,28.45,Down,129.67
2024/03/30,269.83abc,119.9,108.63,?,"3247456,abc",ERROR,171,???,290.21??
2024/02/23,ERROR,ERROR,?,?,5086009units,130.x,72.29.x,UP,NaN
18/04/24,114.05abc,?,(216.44),ERROR,Null,none,4.06.x,down,234.12??
19-03-2024,?,ERROR,NaN,NaN,4522153units,?,?,down,274.41??
29-02-2024,NaN,NaN,196.x,ERROR,Null,137.x,50.65,???,175.3??
10/04/24,?,(130.69),NaN,ERROR,8996885units,185.4.7,93.98.x,down,215.82
2024**04**05,NaN,255.15,?,106.55,"5113738,abc",(219.52),63.27,Up,NaN
2024/03/08,215.4.7,?,231.97abc,none,3565491,none,52.48.x,Up,outlier
2024/02/27,178.87,NaN,NaN,NaN,Null,?,1078,↑,NaN
2024/03/05,263.8.4,?,NaN,NaN,4167003units,129.39abc,high,Down,172.38??
2024-02-23,?,205.2.6,(146.21),270.93abc,Null,125.x,67.94.x,UP,outlier
30/04/24,272.x,(279.3),none,296.61abc,{8303051},NaN,69.74,↑,NaN
2024-04-18,?,none,?,225.98,"6257161,abc",NaN,low,UP,NaN
08-02-2024,?,ERROR,NaN,187.3.5,,ERROR,low,↓,NaN
2024-02-28,280.82abc,NaN,(275.39),283.29,,128.5.2,53.2,Up,135.52??
2024-04-07,236.x,(119.63),235.x,290.5.4,7685772units,ERROR,80,???,145.54??
2024/04/05,?,171.08,137.36abc,?,4728441,263.72,89.83.x,Up,outlier
13-03-2024,234.8.8,244.2.9,none,none,"4937598,abc",none,81.75,↓,NaN
2024-03-18,?,ERROR,?,NaN,"8963133,abc",ERROR,?,UP,262.29??
24-02-2024,220.88abc,none,none,(141.39),,NaN,314,???,112.74
05-04-2024,?,none,224.09abc,ERROR,{2345508},NaN,952,UP,149.44
2024/01/31,NaN,ERROR,ERROR,288.81abc,Null,256.33,1473,UP,NaN
16-02-2024,271.6.1,136.03abc,ERROR,286.x,Null,none,1364,↓,135.9??
2024/02/28,?,?,276.2.5,215.x,,191.83,67.06,UP,238.05??
2024-04-20,ERROR,189.34abc,156.9.1,none,3302485,ERROR,711,???,NaN
12/04/24,?,165.x,ERROR,none,,NaN,390,Down,159.47??
2024-04-20,(214.22),ERROR,(126.32),none,,(130.63),224,???,219.51??
2024-04-20,NaN,NaN,NaN,?,{4468697},none,74.16.x,↑,193.11??
2024-04-28,?,(149.5),NaN,(245.92),,114.59abc,56.14,Up,outlier
22-01-2024,128.x,NaN,211.53abc,(107.73),8082477units,210.x,50.45,???,outlier
07-04-2024,none,175.31abc,ERROR,165.x,,168.0.9,73.19,???,158.34??
2024/04/16,none,ERROR,104.0.8,(260.22),{6697772},235.7.2,1248,UP,NaN
2024/03/10,ERROR,?,ERROR,167.72,7344899,?,low,↓,NaN
2024/01/11,ERROR,(285.72),(110.9),(179.62),Null,ERROR,12.48.x,↓,outlier
2024-01-15,245.47,none,NaN,?,Null,150.32,91.2.x,Down,outlier
2024-04-30,none,none,256.0.4,(120.47),{2994743},NaN,1437,↓,NaN
2024-02-26,100.x,171.62abc,212.9,?,{2093401},(270.15),69.41.x,Up,146.87??
2024/01/03,261.7.2,270.3.3,109.07abc,none,5396924,none,1269,UP,outlier
20/03/24,223.x,?,ERROR,267.5,{7545178},ERROR,78.07.x,Up,210.28
25-01-2024,254.9.7,none,171.5abc,NaN,{7240426},?,high,Up,131.19
2024/04/29,(241.65),(134.2),154.91abc,none,,(261.35),40.11.x,Down,NaN
11-02-2024,NaN,?,(173.07),200.x,{3179774},(111.86),11.89.x,Down,298.38??
28-02-2024,NaN,ERROR,(132.82),(292.24),,107.x,1102,down,179.61
08-04-2024,295.x,NaN,213.07abc,(235.78),7075229units,ERROR,1.07,down,outlier
2024/02/01,182.23,258.78abc,291.16abc,none,8007602,ERROR,83.41.x,???,250.27
29-03-2024,297.1.5,269.x,ERROR,NaN,Null,none,82.51,Up,outlier
2024/01/19,(173.01),147.72,288.25,(282.48),1045153units,124.x,low,???,208.27
2024/04/21,179.7.7,none,272.45abc,269.4.3,{6696410},209.x,97.48,UP,195.7??
01-01-2024,?,279.x,NaN,180.x,,none,17.47.x,↑,123.73
2024-03-09,275.73abc,none,none,149.52abc,,123.44abc,?,Up,288.88??
09-03-2024,?,225.41abc,none,?,"5433700,abc",ERROR,35.97.x,UP,100.36??
07-02-2024,246.6.9,NaN,240.88abc,(284.21),"2246967,abc",(267.31),80.26.x,UP,NaN
2024-04-15,174.0.6,223.2.7,(200.38),121.0.5,"4850288,abc",178.5.1,none,Up,240.68??
05-04-2024,206.95abc,none,(183.89),?,Null,124.2.7,low,UP,276.19
13/01/24,(237.02),239.99,132.35abc,ERROR,6783915units,(206.23),42.85.x,↑,233.47??
27-04-2024,139.2.8,156.82,144.3.0,148.5.9,Null,?,24.29.x,↑,147.62
2024/01/15,155.53,(119.85),(136.09),179.07,{5344642},?,997,UP,outlier
2024-02-10,none,none,ERROR,NaN,,253.94,77.98.x,Down,131.02
04/01/24,?,(100.37),NaN,159.8.8,{8218621},102.6.4,96.65.x,↑,154.78
12/04/24,(215.94),?,(103.09),?,"5761181,abc",?,599,UP,NaN
2024/03/17,243.06,NaN,233.x,120.37,5107695units,201.86abc,20.4.x,↓,126.54
2024/02/06,(173.79),NaN,?,252.x,"7293006,abc",?,none,down,outlier
2024-01-14,?,none,?,(228.46),,ERROR,53.33.x,Up,265.54??
14-02-2024,204.86abc,?,253.1.5,283.0.2,2459481units,150.5.3,?,↑,161.9
17/02/24,274.12abc,NaN,179.05,NaN,"4994276,abc",NaN,1374,UP,162.87
2024-02-12,245.0abc,271.x,NaN,245.x,Null,none,low,↑,NaN
2024-02-29,111.74abc,?,none,161.81,,none,8.34,↓,118.9
2024-02-04,none,?,(217.98),103.96,8134241units,NaN,high,↑,251.32
2024/02/07,205.x,?,(175.84),206.06,"3753642,abc",161.x,94.88,UP,215.81??
2024/04/23,106.78abc,238.32,196.x,?,,ERROR,98.76,UP,213.71??
30-01-2024,260.6,199.46,ERROR,ERROR,{4127405},?,73.05.x,↓,128.83
2024-03-01,146.5abc,240.2.3,126.12abc,244.x,Null,NaN,81.79.x,↑,outlier
17-02-2024,NaN,281.6.7,141.8,(147.36),Null,NaN,101,↓,NaN
07-03-2024,296.18abc,124.x,283.0.7,228.x,2788899,none,55.99,down,131.5
2024/04/27,192.x,115.98abc,none,(220.23),6780553units,NaN,95.94.x,Up,NaN
25-03-2024,205.1,249.6,NaN,149.1.4,"8307258,abc",NaN,58.14.x,UP,225.34??
26-03-2024,NaN,ERROR,none,none,5301941units,260.6.3,?,↓,250.13
22/01/24,NaN,NaN,(207.06),ERROR,8831665,ERROR,1360,Up,NaN
18/01/24,?,NaN,ERROR,220.24abc,,282.x,none,↓,264.07??
2024-04-04,none,103.24,NaN,165.87,Null,(129.29),1500,UP,NaN
20/03/24,ERROR,172.3.7,ERROR,(199.48),2922500,ERROR,?,↓,282.92
2024/04/22,280.7.7,ERROR,NaN,ERROR,Null,?,877,???,NaN
2024/04/24,120.91abc,262.2.1,NaN,(280.85),Null,130.47,64.74.x,UP,outlier
25/02/24,ERROR,none,ERROR,ERROR,1290865units,133.95,33.98.x,↑,175.29
2024-01-11,138.66,?,none,NaN,{8972478},108.58,639,???,243.69??
2024-01-08,161.x,130.3.4,115.x,198.x,{4668690},(183.45),31.66.x,Down,NaN
27-01-2024,131.6.0,(157.96),NaN,129.1.4,Null,243.29abc,91.34,↓,203.08??
2024-02-11,ERROR,121.57,none,ERROR,,none,45,down,103.81
2024-04-01,180.39,NaN,(125.54),102.98,{5124243},254.25,none,Down,178.29??
2024/02/20,(164.45),none,261.x,(265.38),,(285.18),86.4,Up,266.89??
12-02-2024,ERROR,190.x,214.93abc,(103.54),Null,197.7.0,28.69.x,Down,outlier
31-01-2024,194.07,ERROR,209.5.8,NaN,Null,ERROR,high,↓,180.96
2024/01/19,186.6.6,none,NaN,none,1061173,284.8.3,499,Down,154.12??
2024-03-01,(293.35),102.34,ERROR,?,{8411264},130.x,low,down,outlier
21/01/24,(224.79),?,167.8.1,(233.47),3485192,223.x,61.53.x,↓,122.39
2024/01/10,105.1.8,216.13,NaN,?,Null,213.5.5,924,↓,outlier
26-02-2024,258.78,NaN,?,174.x,1392136,NaN,62.84.x,UP,194.78
2024/01/21,ERROR,290.5abc,ERROR,216.79abc,Null,273.7.1,1464,Up,148.91
20-01-2024,NaN,NaN,ERROR,NaN,Null,NaN,99.29.x,down,212.73
2024-02-01,NaN,260.4.8,270.x,(115.17),Null,242.89,152,???,NaN
22-04-2024,210.x,118.x,296.2.9,213.x,2370747units,(161.46),none,down,outlier
2024**04**05,?,148.4,146.0.8,295.67abc,4758986units,none,low,down,outlier
2024-04-21,?,ERROR,NaN,256.92abc,"4748301,abc",none,?,down,147.36??
2024-01-01,none,212.33abc,105.8.7,119.34,{7364828},(109.87),none,Down,NaN
2024/01/27,199.36,ERROR,ERROR,286.42,{8589362},162.03abc,none,???,141.64
13-03-2024,248.9.3,ERROR,(111.47),189.0.6,"8781874,abc",?,82.11.x,???,161.71
17-01-2024,132.82,ERROR,124.94abc,114.x,Null,ERROR,575,↑,167.51??
28/04/24,(136.75),ERROR,290.07abc,204.9.0,6149423units,none,20.34.x,Down,outlier
14/02/24,113.7.9,(278.3),ERROR,175.2.3,4301301,221.x,7.3,???,220.46??
2024-02-03,NaN,(112.91),206.5.3,none,Null,292.x,28.22.x,↑,298.48
2024**04**05,222.9.2,245.9.9,264.45,NaN,,NaN,24.91.x,???,141.42
2024/04/23,146.6.8,231.29,192.7.0,none,"7254595,abc",287.47,89.16,down,183.55
2024/01/11,187.45,NaN,(222.76),ERROR,{4444114},192.x,low,Up,NaN
2024/03/29,136.x,none,170.x,(188.52),{7092408},224.6.3,low,↓,175.95??
11-02-2024,ERROR,165.2.7,ERROR,?,"4546109,abc",ERROR,29.72.x,???,199.8
2024**04**05,199.x,291.8.2,172.52,109.32abc,2252752,185.51,52.29,???,NaN
2024-03-14,none,249.8.6,none,ERROR,"1390524,abc",?,98,down,outlier
2024/03/31,183.87,(296.63),none,218.75,{7780087},195.2.9,87.6,???,107.42??
07/01/24,NaN,198.14,226.05,271.98abc,"3952604,abc",235.96abc,low,Up,NaN
22-03-2024,210.x,?,103.39,NaN,,(122.76),907,???,NaN
28-04-2024,none,128.42abc,NaN,ERROR,6475204,199.x,1072,↓,outlier
15/04/24,151.8.6,NaN,none,?,,NaN,9.74.x,↑,outlier
2024/03/10,195.x,258.67abc,207.93,293.0.1,7653513,128.x,?,UP,188.24
12-03-2024,(271.63),(254.18),262.55abc,256.6.5,1048926,NaN,none,down,195.91??
11/03/24,?,278.x,121.15abc,118.6.0,,none,872,UP,NaN
07/03/24,?,(113.61),196.x,none,1494443,209.x,39.99,???,NaN
2024/02/12,NaN,ERROR,206.03,183.x,Null,(201.4),71.67,↓,212.34??
2024/03/08,none,NaN,264.8.1,none,Null,219.85,53.08,Up,NaN
20/04/24,ERROR,ERROR,ERROR,NaN,{1178341},298.59,965,Up,230.58
2024/04/11,NaN,247.74abc,163.x,157.22,"5127911,abc",270.58,134,down,NaN
18/03/24,208.35,ERROR,136.x,228.5.9,3600858,none,none,↓,outlier
07-01-2024,NaN,181.63abc,138.0.3,?,2471072units,289.41abc,high,↑,289.01??
2024/04/11,none,ERROR,?,200.x,6974566units,151.56,653,???,213.36??
2024/01/06,none,none,?,?,,?,4.36.x,↓,outlier
2024/01/15,NaN,(157.88),none,(283.73),{4296361},148.x,56.06,↑,outlier
2024-04-02,ERROR,?,229.7.9,196.x,{4566565},115.88abc,68.89.x,Down,outlier
21/02/24,NaN,NaN,NaN,178.99,,157.x,29.5,down,136.01
2024/03/04,?,ERROR,NaN,207.x,{6808583},ERROR,1251,UP,284.13
2024-02-25,222.5.9,?,none,?,,(194.19),33.14,Down,182.44
2024/04/18,149.x,NaN,103.26abc,ERROR,,ERROR,43.01.x,???,outlier
2024-02-15,135.1.0,(173.89),(235.08),252.42,"8851332,abc",135.06,74.78.x,Up,253.54
07/02/24,(202.02),288.99,NaN,?,Null,?,12.38,↓,171.86
04-01-2024,107.x,?,none,164.86abc,6620163units,271.82,470,down,205.38
07-04-2024,(100.25),230.24,169.4.4,none,6398890units,146.4.9,44.3,Down,NaN
17-03-2024,183.66,NaN,232.96abc,228.95,,207.28,0.73.x,↑,140.95
2024/03/26,?,291.11abc,NaN,249.79abc,1545076,108.1.5,103,Up,outlier
2024/04/30,?,111.x,?,(232.8),{8047267},192.x,10.28,↓,297.99
2024/03/03,187.64,265.3.9,221.05abc,108.x,,ERROR,low,UP,256.66
17-03-2024,240.6.7,ERROR,144.95,295.9abc,3619354,(268.51),1268,↓,132.3
2024/01/12,NaN,none,ERROR,201.39abc,"2839521,abc",260.x,75.88.x,???,NaN
29/02/24,?,152.49abc,200.x,193.x,6712592units,259.x,550,Down,211.74??
2024-03-08,253.05abc,?,255.02abc,?,Null,138.71abc,-15,down,outlier
30-04-2024,272.x,NaN,none,243.43,1111079,(211.69),none,???,133.24??
14/03/24,?,(185.16),159.07,228.25abc,{4039482},?,83.99.x,???,200.05??
03-03-2024,none,160.17abc,(187.6),138.x,7449877units,NaN,742,down,272.68??
2024/03/07,150.4.2,NaN,(158.04),166.x,,159.62,0.34,???,outlier
09/02/24,none,246.31,none,200.x,,ERROR,33.86.x,down,154.73
23/03/24,127.1.4,ERROR,?,ERROR,7450561units,(297.73),41.75,↓,outlier
2024-04-29,294.8.3,143.x,274.81,none,{5471696},NaN,2.95,???,288.58
2024/01/19,245.x,(179.33),267.x,150.94,,147.1.5,92.36.x,UP,NaN
2024/02/06,289.16abc,NaN,none,155.52,"8920125,abc",121.67,?,↑,228.08??
2024-02-13,NaN,129.67abc,none,ERROR,"5996749,abc",(182.4),1012,Down,207.93??
21/01/24,NaN,(219.78),ERROR,ERROR,{4370300},291.7.2,247,down,NaN
2024/02/09,ERROR,NaN,219.44,(175.31),,NaN,?,???,199.04??
21-04-2024,(175.62),132.05abc,ERROR,141.54abc,,221.44,5.58,UP,147.78??
2024/03/22,129.0.0,ERROR,238.59abc,(105.67),,none,381,???,207.65
2024-03-08,109.45abc,296.x,281.83abc,293.6,7679356,ERROR,low,Down,NaN
15/03/24,149.x,(274.46),ERROR,278.56,3488552units,NaN,10.86.x,Up,166.96??
2024-04-29,116.x,ERROR,(173.98),ERROR,"5072754,abc",(287.71),35.38.x,↑,NaN
2024/04/11,165.x,178.9.2,NaN,122.35abc,"4260666,abc",?,1106,down,outlier
25/02/24,103.18abc,117.7.5,NaN,196.12abc,,159.8.9,low,↑,238.9??
2024/02/24,?,250.x,?,none,,?,1191,UP,NaN
19-03-2024,ERROR,(127.75),?,NaN,"5417144,abc",(234.53),72.02.x,↓,218.63
19-03-2024,243.24abc,107.2abc,?,122.47abc,Null,none,?,???,outlier
2024-01-04,ERROR,ERROR,184.x,268.2.3,{3710868},none,9.88,Down,146.09??
15/02/24,ERROR,160.1.0,210.41,100.6.9,1645001,none,9.09.x,down,219.48
2024**04**05,164.8.3,249.34abc,?,255.4.6,{3364421},103.76abc,1371,???,NaN
2024/03/19,(138.07),124.1abc,127.6.9,none,8419290,none,low,↑,251.71
2024-03-14,none,ERROR,?,127.x,7697250units,281.72,92.97.x,???,outlier
2024-04-16,NaN,(229.59),143.x,(158.13),{2251773},131.x,84.77,↑,154.89??
2024/03/12,ERROR,128.55abc,135.4.4,ERROR,"6646314,abc",?,35.34,↓,205.73??
14/03/24,112.98abc,none,ERROR,ERROR,Null,NaN,31.38,UP,112.66
2024**04**05,116.05abc,107.x,NaN,NaN,4191296,282.0.1,high,UP,133.08
26-04-2024,255.9.1,109.4.1,238.7.8,146.27abc,6931079,(125.02),81.49.x,↑,NaN
14-04-2024,?,(295.36),114.8.9,227.25abc,1955575,249.15,1028,Up,101.74??
2024-02-01,ERROR,ERROR,135.92,121.4abc,{7139035},ERROR,56.3.x,UP,NaN
2024/01/07,(260.91),111.x,238.x,248.62,"1939824,abc",(150.36),?,↓,286.28
07/03/24,ERROR,(276.54),NaN,(197.26),5777203,(143.36),30.43,Down,239.2
2024/03/16,NaN,153.x,175.55,170.x,4700646,280.x,1080,down,NaN
2024-01-12,NaN,(272.89),NaN,?,5251029,?,2.56,Up,135.79??
16-04-2024,215.76abc,?,ERROR,NaN,,?,47.8.x,↓,278.98
13/04/24,?,?,NaN,187.59,1759588,none,26.13,Down,NaN
21/04/24,?,124.5.8,292.75abc,ERROR,2847109units,270.x,75.93,UP,167.23
18-01-2024,(141.17),none,222.46,266.15,2055815,NaN,1026,Up,256.06
23-03-2024,236.02,239.2.7,?,NaN,Null,(104.28),6.03.x,UP,203.54??
01-02-2024,153.9abc,186.5.8,277.94,(103.47),Null,?,14.76,↓,294.67
18-02-2024,290.24,ERROR,NaN,NaN,5326760units,NaN,?,↓,260.47
18/03/24,279.x,287.82abc,ERROR,NaN,"5141397,abc",none,77.24.x,Down,NaN
11-04-2024,?,ERROR,166.27abc,(272.62),7765390,none,74.34,???,267.17
19/04/24,229.1.1,272.x,none,(219.51),4315185units,NaN,18.81,Down,191.1??
13-01-2024,NaN,NaN,262.18abc,(264.11),,251.x,65.23,Down,NaN
26-02-2024,120.9.5,ERROR,?,277.21,Null,none,1076,↓,290.6
2024/04/17,none,138.9.5,249.34,none,{1878938},?,none,↓,outlier
2024-04-12,NaN,none,?,ERROR,,225.61abc,65,↑,outlier
2024-01-25,?,166.6.8,NaN,162.x,6757066,none,780,down,NaN
02-04-2024,NaN,176.72,125.44abc,133.33,{1066506},none,60.46.x,UP,NaN
2024-04-04,139.7.4,NaN,295.x,115.9.7,5127664units,180.x,76.63,↑,188.95
17/01/24,141.34abc,ERROR,261.76abc,(211.48),,151.56abc,-40,UP,NaN
2024/02/10,251.x,(168.46),?,NaN,Null,ERROR,773,down,292.42??
22-03-2024,?,203.24abc,101.x,174.0.7,4774914,139.85abc,1228,???,NaN
12/04/24,(173.83),(136.48),ERROR,NaN,Null,196.7,none,down,outlier
2024-02-18,188.8.7,NaN,157.25abc,275.5.9,"8179605,abc",ERROR,0.88.x,Down,153.9??
2024/04/26,180.08abc,199.1.3,233.3.9,214.8.1,,ERROR,59.25,???,168.99
18-01-2024,(292.25),170.x,134.x,ERROR,3396008units,NaN,55.13,down,272.18??
2024-03-04,ERROR,NaN,ERROR,148.x,"5675675,abc",144.92abc,88.4.x,↑,outlier
2024/03/26,none,261.08,163.5abc,219.96abc,8505081units,NaN,93.07.x,↓,outlier
2024/01/22,225.69,125.x,213.99,212.59,1241198units,NaN,40.44.x,UP,214.93
20/01/24,(215.51),251.16,?,ERROR,7840123,264.x,38.33.x,???,134.48
2024/03/31,(188.17),none,(151.11),268.83abc,{4567268},?,74.93.x,↓,NaN
28-01-2024,274.3.7,(107.57),289.55abc,234.53,,232.x,2.54,↓,159.64??
2024/03/17,214.88,NaN,270.9,none,{7965237},183.46,6.32.x,↓,outlier
08/01/24,ERROR,(188.18),133.5,254.x,2827564,194.41abc,80.56.x,↑,outlier
03-02-2024,188.2.5,130.x,145.77abc,NaN,Null,NaN,337,Up,NaN
18-01-2024,?,(121.13),ERROR,?,,106.8.0,1181,Down,285.11
08/04/24,186.x,143.97abc,(193.83),ERROR,"5246221,abc",111.67abc,99.95,↑,236.97??
23-03-2024,none,NaN,233.53abc,none,5599932,none,21.74.x,???,NaN
2024/02/18,?,?,249.84,NaN,1561040units,NaN,41.36.x,Up,outlier
2024-02-07,ERROR,102.75abc,222.0.1,(187.52),"1910836,abc",none,50.51,???,237.82
13/04/24,121.x,NaN,162.x,(154.29),7665110units,ERROR,-12,???,118.98
2024-02-13,180.12,?,155.17abc,(195.2),,none,99.3.x,↑,298.71??
2024/01/11,?,194.5.2,ERROR,?,4971316units,NaN,2.73,down,177.52??
14/03/24,178.4abc,?,NaN,?,,289.35abc,86.36,down,NaN
06/02/24,none,219.4.6,226.86,256.89abc,,260.5.9,0.33,down,NaN
2024/03/12,none,none,ERROR,(246.84),Null,130.x,high,↓,144.26??
16-04-2024,?,242.97abc,206.79abc,129.8.6,Null,123.3abc,high,Up,outlier
2024-04-18,118.84abc,?,NaN,ERROR,"1464683,abc",110.x,?,↑,NaN
02-04-2024,235.99,?,none,?,7622623,?,395,↓,213.35
2024-02-06,?,?,267.1.1,155.x,"1300319,abc",none,low,down,outlier
18/02/24,265.x,191.5.0,130.44abc,129.x,2350308units,137.44abc,20.94,UP,NaN
2024/03/06,164.89abc,121.9.0,NaN,none,,?,1008,↓,283.9??
2024/01/07,none,(175.97),none,262.x,4932734,ERROR,59.39,Up,NaN
2024-02-21,ERROR,?,204.x,101.4.9,Null,ERROR,?,Down,outlier
2024-03-24,(271.98),120.5.0,(139.2),?,1992279,(120.15),41.52.x,↓,164.2
16/04/24,138.68,129.x,274.8.3,?,{5999361},ERROR,12.77,↑,295.31
2024-01-11,NaN,none,128.5.2,none,2783109,195.7.3,67.15,???,284.17
2024/03/26,254.x,?,NaN,190.0abc,4503717,193.61,87.27.x,UP,outlier
27-03-2024,267.8.3,229.1.3,281.22,150.x,8710864units,?,87.62.x,down,NaN
05-03-2024,(143.69),(104.19),257.6abc,273.1.8,Null,273.88abc,76.95,Down,130.95
28-02-2024,274.52,?,284.x,203.8.0,{6138138},128.x,246,Up,NaN
27-03-2024,?,?,252.0.9,287.x,,200.x,72.26.x,↑,NaN
12-02-2024,NaN,149.x,167.65,236.x,2010803units,?,49.98,???,outlier
2024/03/07,130.24abc,ERROR,190.17,126.34abc,4939991units,288.69,34.37.x,↓,120.47??
13/01/24,(133.02),NaN,ERROR,172.35abc,3123821units,?,?,Up,NaN
30/01/24,295.x,283.51abc,ERROR,NaN,Null,none,high,Up,outlier
2024**04**05,273.0.0,179.1.7,?,105.34abc,"1386538,abc",NaN,1092,Down,234.43??
2024/01/15,104.27,ERROR,?,ERROR,2837472,(109.34),high,Down,NaN
23-03-2024,137.6.1,(172.88),164.18,143.59abc,3220096units,none,?,Up,outlier
14-02-2024,none,220.x,?,209.6.4,"2789487,abc",143.x,41.48.x,↓,NaN
05/03/24,ERROR,ERROR,186.9.9,NaN,{7132656},213.x,40.6,UP,150.65??
2024-03-17,261.x,189.61,none,234.94abc,6021490units,NaN,high,Down,193.52
2024/01/06,246.92,144.63abc,170.7.9,none,3074859,ERROR,41.99.x,UP,180.91??
10/02/24,238.x,187.2.8,NaN,ERROR,,274.9.5,25.67,down,NaN
2024/03/10,none,168.86,166.x,254.55abc,6384481,271.0,59.12,UP,outlier
2024/02/02,none,ERROR,NaN,?,,none,1209,UP,242.32??
09-03-2024,?,192.x,NaN,257.61abc,8466487,159.x,459,UP,245.23
2024-03-31,?,none,172.6.9,NaN,Null,?,49.68.x,↓,outlier
2024-01-10,NaN,?,(116.8),?,,none,1056,down,148.9??
2024-02-21,ERROR,NaN,250.7.6,(179.37),6796814,128.41,1117,???,outlier
2024/03/31,145.07,?,167.x,none,,246.x,?,UP,167.08??
2024-02-22,128.97abc,(117.28),ERROR,212.39abc,,NaN,59.34.x,↑,180.28??
2024-04-11,133.2abc,?,108.5.0,283.x,8085287,(287.75),low,↓,NaN
2024-03-01,none,(126.95),120.67,?,,NaN,63.48,Up,outlier
27-02-2024,(133.61),(181.32),none,?,{7569788},300.x,1448,↑,NaN
22/02/24,?,NaN,(146.61),none,{8622096},164.2.9,30.63.x,↓,299.77??
03/04/24,NaN,ERROR,NaN,?,Null,249.3.3,89.99.x,Down,outlier
2024-02-18,(225.78),170.4.0,231.73,NaN,,250.x,1311,↑,NaN
2024/03/13,none,?,106.2,NaN,1151225units,239.x,879,↓,NaN
2024/01/07,?,293.55,NaN,257.86,,219.2abc,22.09.x,↓,NaN
2024/03/28,102.5.0,NaN,NaN,NaN,{8638703},292.72abc,365,down,151.49??
01-03-2024,180.87abc,ERROR,?,?,"8320197,abc",195.36,63.3,UP,117.26
2024-03-31,229.59abc,121.96abc,NaN,NaN,5153836units,249.x,22.52,???,NaN
18/01/24,NaN,NaN,241.18abc,none,,none,?,↓,NaN
2024/02/23,none,none,215.23abc,224.38,1305474,none,77.93.x,UP,NaN
2024/04/09,none,(220.84),?,207.1,5765140units,267.96abc,none,UP,outlier
14/02/24,248.8.5,200.12abc,ERROR,137.3.6,Null,167.x,12.18.x,↑,NaN
2024/02/07,162.x,135.3.0,282.84,NaN,{5324651},NaN,23.16.x,???,outlier
29-03-2024,none,none,?,275.54,"5649467,abc",none,1045,down,276.04??
02/04/24,(290.79),147.7.1,(139.52),245.68,,246.87abc,472,???,230.91
01-01-2024,?,(243.95),188.0.8,none,,(296.49),none,↑,NaN
2024/04/06,none,(255.57),none,NaN,,237.9abc,812,↑,110.03
2024/04/30,?,252.31abc,183.x,(170.71),Null,209.03abc,3.92.x,Down,NaN
2024-02-28,251.1.6,171.4.2,none,136.x,"8537093,abc",(172.6),29,↑,outlier
2024/01/08,226.7,NaN,206.0.9,173.x,"4890765,abc",ERROR,0.97,Up,176.46??
07-04-2024,?,none,NaN,(211.0),8228226,NaN,-46,???,151.73??
05-01-2024,ERROR,?,259.0.7,none,5334458units,118.7.6,low,↓,178.56
2024-03-18,(187.46),277.27abc,224.x,NaN,,281.26,97.23.x,down,outlier
2024/02/19,NaN,?,none,207.7.2,{5023661},268.81,33.03.x,Down,224.6
2024/03/18,NaN,ERROR,?,none,Null,NaN,71.97,↑,276.78
2024-01-07,231.92,(169.72),ERROR,(135.85),Null,ERROR,17.94.x,UP,185.04
2024-01-24,none,134.5.6,ERROR,ERROR,Null,(153.27),61.31,Up,outlier
2024-02-28,189.58,298.x,ERROR,276.44,Null,280.x,1297,↑,103.65??
2024-02-01,?,240.4.9,none,NaN,,(247.41),none,Down,outlier
11-04-2024,ERROR,ERROR,ERROR,(122.24),Null,NaN,8.06.x,↓,171.93
13-04-2024,none,246.3.5,(147.85),186.73,{7247511},215.7.1,high,???,104.32
2024/03/11,215.49,?,117.x,?,{2391186},(186.62),51.52,↑,226.94
2024-03-05,NaN,ERROR,NaN,?,"8501987,abc",NaN,327,Up,outlier
2024-01-13,none,247.41abc,none,?,4285972,ERROR,5.07,Up,outlier
05/04/24,272.9.6,NaN,NaN,145.1,{8399597},none,high,Down,165.63??
13-03-2024,158.43,136.83abc,?,236.12abc,5202660,103.x,?,???,170.54
2024/03/26,NaN,155.77abc,188.96abc,212.49,4531174,265.58abc,?,Down,NaN
2024/01/03,159.0.2,114.x,169.36,NaN,7204451,(136.5),low,???,NaN
2024**04**05,none,101.7.8,NaN,148.5,Null,214.31abc,14.91.x,Down,NaN
2024/04/26,NaN,176.x,(115.1),ERROR,{6458507},124.7.6,57.22.x,???,138.97??
30/03/24,none,ERROR,ERROR,233.4.7,4942010,179.36abc,279,UP,150.68??
12/01/24,(289.38),206.73abc,ERROR,?,2544461units,153.x,762,↑,NaN
